Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Futures_Spot
EUR,0.91,-13028.697430130622,0.10422957944104497,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,0.93,-191255.7748156014,1.5300461985248113,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,0.95,-2567295.309635832,20.538362477086658,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,0.97,-51120490.29173281,408.9639223338625,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,0.98,-184945.6200867703,1.4795649606941623,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,0.99,-14475987.98002125,115.80790384016998,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.0,-24201738.705966562,193.6139096477325,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.01,-991268104.2450756,7930.144833960605,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.02,-36886400.09798976,295.09120078391805,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.025,-1384992.3269319034,11.079938615455227,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.03,-1506583845.9467628,12052.670767574104,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.035,-1001927.9738867431,8.015423791093944,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.04,-198356938.21869007,1586.8555057495205,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.045,-2732553.4589888602,21.86042767191088,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.05,-577673783.4315354,4646.031870140359,0.0,0.0,0.0,0.0,0.0,1799.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.055,-9639056.57810625,77.11245262485002,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.06,-187552281.2285407,1500.4182498283258,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.065,-20042471.404652495,160.33977123721996,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.07,-174597944.64018813,1396.783557121505,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.075,2210303.6537795095,24.218783413635283,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.08,-589154239.8276341,4713.233918621073,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.085,-3496932.749516548,27.975461996132385,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.09,-967118947.9083345,7736.951583266676,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.095,-33730200.44719833,269.8416035775866,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.1,-1370525062.992992,10964.200503943935,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.105,-975648536.8143215,7805.188294514573,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.11,-3268836570.3632984,26150.692562906388,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.115,-980478279.5060828,7843.826236048662,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.12,-2402263761.740093,19270.490654305155,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.125,-1302987030.245572,10458.831473928156,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.13,-5105422235.794492,40865.4240716051,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.135,-5122440666.364513,40979.52533091611,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.14,-4198249345.604342,33607.00880500692,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.1425,-8915266.82471429,71.32213459771432,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.145,-4017947950.0309167,38764.80422325524,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.1475,-726808347.7005306,5814.466781604246,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.15,-3422494554.3696275,115709.41553087538,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.1525,-2422396264.6465397,19379.170117172318,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.155,-11356468518.267012,93807.02983067773,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.1575,-2781949845.3938265,22255.59876315061,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.16,10563678903.644907,174712.02018476,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.1625,-1854237110.307,14833.896882455998,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.165,997139567.6677294,174948.80000225722,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.1675,-16494905784.205868,263141.8760632251,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.17,4747727622.192675,801556.9450333874,0.0,0.0,0.0036,1750.0,11591.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.1725,70816008704.95053,618096.0435551469,0.0026,40.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.175,37024395668.55554,365233.0820791121,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.1775,11286607484.486416,99277.64603609094,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.18,28587517375.52651,335530.1595456308,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.1825,2037511697.130924,19813.381885846717,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.185,5547958617.423979,163383.66062245268,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.1875,-203449148.5085496,8360.044821513859,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.19,11535137011.299665,232524.15787818437,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.1925,-330047654.4757918,3265.978070770687,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
EUR,1.195,-2355560376.9572167,87615.94935266917,0.0,0.0,0.0,0.0,0.0,0.0,1.1730265492646312,1.170973450735369,1.1740530985292623,1.169946901470738,DEC26,JUN26,1.1720000000000002
