Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Futures_Spot,Gamma_Flip
NAS,10000.0,-0.004366557232945917,0.00021832786164729587,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,10500.0,-0.0008457421917496406,4.228710958748203e-05,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,11000.0,-0.002356188362914741,0.00011780941814573707,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,11500.0,-0.0004370651625579346,2.185325812789673e-05,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,12000.0,-0.0011772680209597127,5.886340104798564e-05,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,12500.0,-0.0007068135681139884,3.5340678405699425e-05,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,13000.0,-0.004832779281650095,0.00024163896408250477,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,13500.0,-0.008572843590095228,0.0004286421795047614,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,14000.0,-0.00439195852445386,0.000219597926222693,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,14250.0,-6.338604209438601e-05,3.1693021047193003e-06,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,14500.0,-0.0033449981975048355,0.00016724990987524178,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,14750.0,-3.31316507022152e-06,1.65658253511076e-07,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,15000.0,-0.009891582998075351,0.0004945791499037677,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,15250.0,-7.612050620342157e-05,3.8060253101710784e-06,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,15500.0,-0.004838628516677064,0.0002419314258338532,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,15750.0,-1.4815670654916712e-05,7.407835327458355e-07,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,16000.0,-0.029411327286011982,0.0014705663643005992,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,16250.0,-0.00010555290480156944,5.2776452400784715e-06,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,16500.0,-0.021004790854231462,0.001050239542711573,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,16750.0,-0.0017209707758248567,8.604853879124284e-05,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,17000.0,-0.02382732148548823,0.0011913660742744116,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,17250.0,-0.0007194595997863531,3.5972979989317655e-05,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,17500.0,-0.03128643117279583,0.0015643215586397914,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,17750.0,-0.0028393929823245664,0.0001419696491162283,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,18000.0,-0.028040021787352,0.0014020010893676,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,18250.0,-0.002843733032237122,0.00014218665161185612,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,18500.0,-0.01026248948076443,0.0005131244740382214,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
NAS,18750.0,-0.008970523199866857,0.0004662565803648741,0.0,0.0,0.0,0.0,0.0,0.0,30257.02936004494,30087.018259002678,30342.03491056607,30002.012708481547,JUN26,JUN26,30172.02380952381,29939.38639443704
