Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Futures_Spot,Gamma_Flip
XAU,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,1375.0,-0.00014162569496828424,1.4162569496828423e-06,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,1500.0,-0.00015057329363915212,1.5057329363915212e-06,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,1845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,1995.0,-0.0013635881203693484,1.3635881203693484e-05,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2000.0,-0.00013719069350575288,1.3719069350575288e-06,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2005.0,-0.0005521125951850062,5.521125951850062e-06,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2500.0,0.13391222298613975,0.0013391222298613974,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
XAU,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.057261505805,4214.742738494194,4315.71452301161,4181.085476988389,AUG26,JUL26,4248.4,4970.247467548327
