Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
BTC,54500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81147.7808287893,76872.2191712107,83285.5616575786,74734.4383424214,AUG26,AUG26,2026-08-28,2026-08-28,79010.0,65004.54007219498,FOUND,OK,NONE,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;MAR27=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER,AUG26=79010;DEC26=87567.5;OCT26=79725;SEP26=79312.5;MAR27=83285;NOV26=71250,NONE,WEIGHTED_ATM,2026-09-25,21,104,0.0,NONE,308,308,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-25
BTC,55000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81147.7808287893,76872.2191712107,83285.5616575786,74734.4383424214,AUG26,AUG26,2026-08-28,2026-08-28,79010.0,65004.54007219498,FOUND,OK,NONE,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;MAR27=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER,AUG26=79010;DEC26=87567.5;OCT26=79725;SEP26=79312.5;MAR27=83285;NOV26=71250,NONE,WEIGHTED_ATM,2026-09-25,21,104,0.0,NONE,308,308,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-25
BTC,55500.0,-250.29549241031438,4.009487878422487e-06,0.0,0.0,0.0,0.0,0.0,0.0,81147.7808287893,76872.2191712107,83285.5616575786,74734.4383424214,AUG26,AUG26,2026-08-28,2026-08-28,79010.0,65004.54007219498,FOUND,OK,NONE,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;MAR27=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER,AUG26=79010;DEC26=87567.5;OCT26=79725;SEP26=79312.5;MAR27=83285;NOV26=71250,NONE,WEIGHTED_ATM,2026-09-25,21,104,0.0,NONE,308,308,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-25
BTC,56000.0,-4638.040740074477,7.38283384962282e-05,0.0,0.0,0.0,0.0,0.0,0.0,81147.7808287893,76872.2191712107,83285.5616575786,74734.4383424214,AUG26,AUG26,2026-08-28,2026-08-28,79010.0,65004.54007219498,FOUND,OK,NONE,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;MAR27=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER,AUG26=79010;DEC26=87567.5;OCT26=79725;SEP26=79312.5;MAR27=83285;NOV26=71250,NONE,WEIGHTED_ATM,2026-09-25,21,104,0.0,NONE,308,308,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-25
BTC,56500.0,-7063.499697551811,0.00011249214978202644,0.0,0.0,0.0,0.0,0.0,0.0,81147.7808287893,76872.2191712107,83285.5616575786,74734.4383424214,AUG26,AUG26,2026-08-28,2026-08-28,79010.0,65004.54007219498,FOUND,OK,NONE,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;MAR27=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER,AUG26=79010;DEC26=87567.5;OCT26=79725;SEP26=79312.5;MAR27=83285;NOV26=71250,NONE,WEIGHTED_ATM,2026-09-25,21,104,0.0,NONE,308,308,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-25
BTC,57000.0,-202.70977323299718,3.2472114091575238e-06,0.0,0.0,0.0,0.0,0.0,0.0,81147.7808287893,76872.2191712107,83285.5616575786,74734.4383424214,AUG26,AUG26,2026-08-28,2026-08-28,79010.0,65004.54007219498,FOUND,OK,NONE,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;MAR27=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER,AUG26=79010;DEC26=87567.5;OCT26=79725;SEP26=79312.5;MAR27=83285;NOV26=71250,NONE,WEIGHTED_ATM,2026-09-25,21,104,0.0,NONE,308,308,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-25
BTC,57500.0,-2261.707840993416,3.564415169623954e-05,0.0,0.0,0.0,0.0,0.0,0.0,81147.7808287893,76872.2191712107,83285.5616575786,74734.4383424214,AUG26,AUG26,2026-08-28,2026-08-28,79010.0,65004.54007219498,FOUND,OK,NONE,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;MAR27=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER,AUG26=79010;DEC26=87567.5;OCT26=79725;SEP26=79312.5;MAR27=83285;NOV26=71250,NONE,WEIGHTED_ATM,2026-09-25,21,104,0.0,NONE,308,308,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-25
BTC,58000.0,-11146.069091041574,0.00026850769998395065,0.0,0.0,0.0,0.0,0.0,0.0,81147.7808287893,76872.2191712107,83285.5616575786,74734.4383424214,AUG26,AUG26,2026-08-28,2026-08-28,79010.0,65004.54007219498,FOUND,OK,NONE,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;MAR27=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER,AUG26=79010;DEC26=87567.5;OCT26=79725;SEP26=79312.5;MAR27=83285;NOV26=71250,NONE,WEIGHTED_ATM,2026-09-25,21,104,0.0,NONE,308,308,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-25
BTC,58500.0,-4849.239665770981,7.726627983416578e-05,0.0,0.0,0.0,0.0,0.0,0.0,81147.7808287893,76872.2191712107,83285.5616575786,74734.4383424214,AUG26,AUG26,2026-08-28,2026-08-28,79010.0,65004.54007219498,FOUND,OK,NONE,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;MAR27=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER,AUG26=79010;DEC26=87567.5;OCT26=79725;SEP26=79312.5;MAR27=83285;NOV26=71250,NONE,WEIGHTED_ATM,2026-09-25,21,104,0.0,NONE,308,308,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-25
BTC,59000.0,-10035.347719830028,0.00016007840675127027,0.0,0.0,0.0,0.0,0.0,0.0,81147.7808287893,76872.2191712107,83285.5616575786,74734.4383424214,AUG26,AUG26,2026-08-28,2026-08-28,79010.0,65004.54007219498,FOUND,OK,NONE,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;MAR27=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER,AUG26=79010;DEC26=87567.5;OCT26=79725;SEP26=79312.5;MAR27=83285;NOV26=71250,NONE,WEIGHTED_ATM,2026-09-25,21,104,0.0,NONE,308,308,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-25
