Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_Settle,Global_Call_OI,Global_Put_Settle,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Futures_Spot
GBP,1.02,-33538.43537027434,0.5366149659243894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.07,-209175.99580137254,3.3468159328219604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.08,-124702.69427970715,1.9952431084753144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.1,-451783.3543757741,7.228533670012386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.11,-41077.73473352984,0.6572437557364775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.12,-947319.7166868781,15.15711546699005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.13,-2865043.7592753274,45.84070014840524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.14,-1234789.8312028046,19.756637299244872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.15,-3241038.68791762,51.85661900668192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.16,-1615173.0051643294,25.84276808262927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.17,-6241353.745629512,99.8616599300722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.175,-859948.8087023135,13.759180939237016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.18,-5314207.665829806,85.02732265327688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
