Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_Settle,Global_Call_OI,Global_Put_Settle,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month
EUR,0.91,-26820.162204874374,0.214561297638995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,0.93,-247574.60549964703,1.9805968439971764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,0.95,-3605678.5475681573,28.845428380545258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,0.97,-70887.59521102805,0.5671007616882244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,0.98,-237318.31946327962,1.898546555706237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,0.99,-19261689.102605257,154.09351282084205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.0,-2547346.3972056992,20.378771177645593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.01,-1016923731.319187,8135.389850553496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.02,-48060470.15625373,384.48376125002983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.025,-2246977.94645371,17.975823571629682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.03,-1180322308.9708254,9442.578471766605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.035,-1957087.6631289038,15.656701305031229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.04,-8306129.88769473,66.44903910155784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.045,-3434958.3398625194,27.479666718900155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.05,-402572705.562246,3220.581644497968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.055,-9746567.515969627,77.97254012775701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.06,-32800391.857966576,262.4031348637326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.065,-1798608.889488517,14.388871115908136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.07,-302014190.07179356,2416.1135205743485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
