Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Futures_Spot,Gamma_Flip
SPX,2000.0,-0.9548792252628442,0.019097584505256886,0.0,0.0,0.0,0.0,0.0,0.0,6837.481419921099,6836.389547820837,6838.02735597123,6835.843611770706,JUL26,JUL26,6836.935483870968,7090.955899570424
SPX,2100.0,-0.5115254769269051,0.010230509538538102,0.0,0.0,0.0,0.0,0.0,0.0,6837.481419921099,6836.389547820837,6838.02735597123,6835.843611770706,JUL26,JUL26,6836.935483870968,7090.955899570424
SPX,2150.0,-0.003949168367772711,7.898336735545423e-05,0.0,0.0,0.0,0.0,0.0,0.0,6837.481419921099,6836.389547820837,6838.02735597123,6835.843611770706,JUL26,JUL26,6836.935483870968,7090.955899570424
SPX,2200.0,-0.6122245077978268,0.012244490155956534,0.0,0.0,0.0,0.0,0.0,0.0,6837.481419921099,6836.389547820837,6838.02735597123,6835.843611770706,JUL26,JUL26,6836.935483870968,7090.955899570424
SPX,2250.0,-0.03226188015572741,0.0006452376031145482,0.0,0.0,0.0,0.0,0.0,0.0,6837.481419921099,6836.389547820837,6838.02735597123,6835.843611770706,JUL26,JUL26,6836.935483870968,7090.955899570424
SPX,2300.0,-0.23422058650009517,0.004684411730001903,0.0,0.0,0.0,0.0,0.0,0.0,6837.481419921099,6836.389547820837,6838.02735597123,6835.843611770706,JUL26,JUL26,6836.935483870968,7090.955899570424
SPX,2350.0,-0.015832568291088093,0.0003166513658217618,0.0,0.0,0.0,0.0,0.0,0.0,6837.481419921099,6836.389547820837,6838.02735597123,6835.843611770706,JUL26,JUL26,6836.935483870968,7090.955899570424
SPX,2400.0,-1.8635871121819465,0.037271742243638925,0.0,0.0,0.0,0.0,0.0,0.0,6837.481419921099,6836.389547820837,6838.02735597123,6835.843611770706,JUL26,JUL26,6836.935483870968,7090.955899570424
SPX,2425.0,-0.0031211192697621973,6.242238539524395e-05,0.0,0.0,0.0,0.0,0.0,0.0,6837.481419921099,6836.389547820837,6838.02735597123,6835.843611770706,JUL26,JUL26,6836.935483870968,7090.955899570424
SPX,2450.0,-0.11360000350415096,0.0022720000700830194,0.0,0.0,0.0,0.0,0.0,0.0,6837.481419921099,6836.389547820837,6838.02735597123,6835.843611770706,JUL26,JUL26,6836.935483870968,7090.955899570424
SPX,2475.0,-0.005081040443447455,0.0001016208088689491,0.0,0.0,0.0,0.0,0.0,0.0,6837.481419921099,6836.389547820837,6838.02735597123,6835.843611770706,JUL26,JUL26,6836.935483870968,7090.955899570424
SPX,2500.0,-0.9478124691593486,0.018956249383186973,0.0,0.0,0.0,0.0,0.0,0.0,6837.481419921099,6836.389547820837,6838.02735597123,6835.843611770706,JUL26,JUL26,6836.935483870968,7090.955899570424
SPX,2525.0,-0.1248419444740652,0.002496838889481304,0.0,0.0,0.0,0.0,0.0,0.0,6837.481419921099,6836.389547820837,6838.02735597123,6835.843611770706,JUL26,JUL26,6836.935483870968,7090.955899570424
SPX,2550.0,-0.07312827844618965,0.0014625655689237927,0.0,0.0,0.0,0.0,0.0,0.0,6837.481419921099,6836.389547820837,6838.02735597123,6835.843611770706,JUL26,JUL26,6836.935483870968,7090.955899570424
SPX,2575.0,-0.016706113082765997,0.0003341222616553199,0.0,0.0,0.0,0.0,0.0,0.0,6837.481419921099,6836.389547820837,6838.02735597123,6835.843611770706,JUL26,JUL26,6836.935483870968,7090.955899570424
SPX,2600.0,-1.2716265912084732,0.025432531824169467,0.0,0.0,0.0,0.0,0.0,0.0,6837.481419921099,6836.389547820837,6838.02735597123,6835.843611770706,JUL26,JUL26,6836.935483870968,7090.955899570424
