Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
NAS,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28826.99455643391,27981.50544356609,29249.739112867825,27558.760887132175,SEP26,AUG26,2026-08-03,2026-09-18,28404.25,28407.831900228033,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;OCT26=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY,AUG26=28404.25;SEP26=28404.5;DEC29=27971;JUN27=34895.625;OCT26=29838.125;DEC26=29933.5;MAR27=24118.375;DEC28=37573.75;DEC27=18389.75,JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-14,9,97,0.0,NONE,4787,4567,0,0,217,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,NONE
NAS,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28826.99455643391,27981.50544356609,29249.739112867825,27558.760887132175,SEP26,AUG26,2026-08-03,2026-09-18,28404.25,28407.831900228033,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;OCT26=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY,AUG26=28404.25;SEP26=28404.5;DEC29=27971;JUN27=34895.625;OCT26=29838.125;DEC26=29933.5;MAR27=24118.375;DEC28=37573.75;DEC27=18389.75,JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-14,9,97,0.0,NONE,4787,4567,0,0,217,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,NONE
NAS,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28826.99455643391,27981.50544356609,29249.739112867825,27558.760887132175,SEP26,AUG26,2026-08-03,2026-09-18,28404.25,28407.831900228033,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;OCT26=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY,AUG26=28404.25;SEP26=28404.5;DEC29=27971;JUN27=34895.625;OCT26=29838.125;DEC26=29933.5;MAR27=24118.375;DEC28=37573.75;DEC27=18389.75,JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-14,9,97,0.0,NONE,4787,4567,0,0,217,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,NONE
NAS,11500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28826.99455643391,27981.50544356609,29249.739112867825,27558.760887132175,SEP26,AUG26,2026-08-03,2026-09-18,28404.25,28407.831900228033,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;OCT26=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY,AUG26=28404.25;SEP26=28404.5;DEC29=27971;JUN27=34895.625;OCT26=29838.125;DEC26=29933.5;MAR27=24118.375;DEC28=37573.75;DEC27=18389.75,JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-14,9,97,0.0,NONE,4787,4567,0,0,217,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,NONE
NAS,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28826.99455643391,27981.50544356609,29249.739112867825,27558.760887132175,SEP26,AUG26,2026-08-03,2026-09-18,28404.25,28407.831900228033,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;OCT26=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY,AUG26=28404.25;SEP26=28404.5;DEC29=27971;JUN27=34895.625;OCT26=29838.125;DEC26=29933.5;MAR27=24118.375;DEC28=37573.75;DEC27=18389.75,JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-14,9,97,0.0,NONE,4787,4567,0,0,217,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,NONE
NAS,12500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28826.99455643391,27981.50544356609,29249.739112867825,27558.760887132175,SEP26,AUG26,2026-08-03,2026-09-18,28404.25,28407.831900228033,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;OCT26=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY,AUG26=28404.25;SEP26=28404.5;DEC29=27971;JUN27=34895.625;OCT26=29838.125;DEC26=29933.5;MAR27=24118.375;DEC28=37573.75;DEC27=18389.75,JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-14,9,97,0.0,NONE,4787,4567,0,0,217,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,NONE
NAS,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28826.99455643391,27981.50544356609,29249.739112867825,27558.760887132175,SEP26,AUG26,2026-08-03,2026-09-18,28404.25,28407.831900228033,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;OCT26=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY,AUG26=28404.25;SEP26=28404.5;DEC29=27971;JUN27=34895.625;OCT26=29838.125;DEC26=29933.5;MAR27=24118.375;DEC28=37573.75;DEC27=18389.75,JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-14,9,97,0.0,NONE,4787,4567,0,0,217,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,NONE
NAS,13500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28826.99455643391,27981.50544356609,29249.739112867825,27558.760887132175,SEP26,AUG26,2026-08-03,2026-09-18,28404.25,28407.831900228033,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;OCT26=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY,AUG26=28404.25;SEP26=28404.5;DEC29=27971;JUN27=34895.625;OCT26=29838.125;DEC26=29933.5;MAR27=24118.375;DEC28=37573.75;DEC27=18389.75,JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-14,9,97,0.0,NONE,4787,4567,0,0,217,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,NONE
NAS,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28826.99455643391,27981.50544356609,29249.739112867825,27558.760887132175,SEP26,AUG26,2026-08-03,2026-09-18,28404.25,28407.831900228033,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;OCT26=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY,AUG26=28404.25;SEP26=28404.5;DEC29=27971;JUN27=34895.625;OCT26=29838.125;DEC26=29933.5;MAR27=24118.375;DEC28=37573.75;DEC27=18389.75,JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-14,9,97,0.0,NONE,4787,4567,0,0,217,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,NONE
NAS,14500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28826.99455643391,27981.50544356609,29249.739112867825,27558.760887132175,SEP26,AUG26,2026-08-03,2026-09-18,28404.25,28407.831900228033,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;OCT26=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY,AUG26=28404.25;SEP26=28404.5;DEC29=27971;JUN27=34895.625;OCT26=29838.125;DEC26=29933.5;MAR27=24118.375;DEC28=37573.75;DEC27=18389.75,JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-14,9,97,0.0,NONE,4787,4567,0,0,217,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,NONE
