Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
USDCAD,1.2195121951,-19507.414377473448,1022904.2577594359,0.0,0.0,0.0,0.0,0.0,0.0,1.395676258400027,1.3884865387999734,1.3992711182000541,1.3848916789999464,SEP26,AUG26,2026-08-12,2026-09-04,1.3920813986000002,1.5103823893945865,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;MAY27=SERIES_FORWARD_CLUSTER;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER;MAR28=SERIES_FORWARD_CLUSTER,AUG26=1.392081399;OCT26=1.386394525;JAN27=1.380964014;DEC26=1.386544872;MAY27=1.538461539;SEP26=1.392097716;NOV26=1.386547704;FEB27=1.381153451;JUN27=1.377041889;MAR27=1.381596524;JUL27=1.372810345;APR27=1.375993183;JUN28=1.337248474;MAR28=1.381349351,NONE,WEIGHTED_ATM,2026-09-04,18,47,0.0,NONE,742,333,0,0,142,NONE,MCM;SCD;TCD;WCD,OK,NONE,NONE,2026-08-10
USDCAD,1.25,-2230483.235343315,116945836.73460954,0.0,0.0,0.0,0.0,0.0,0.0,1.395676258400027,1.3884865387999734,1.3992711182000541,1.3848916789999464,SEP26,AUG26,2026-08-12,2026-09-04,1.3920813986000002,1.5103823893945865,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;MAY27=SERIES_FORWARD_CLUSTER;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER;MAR28=SERIES_FORWARD_CLUSTER,AUG26=1.392081399;OCT26=1.386394525;JAN27=1.380964014;DEC26=1.386544872;MAY27=1.538461539;SEP26=1.392097716;NOV26=1.386547704;FEB27=1.381153451;JUN27=1.377041889;MAR27=1.381596524;JUL27=1.372810345;APR27=1.375993183;JUN28=1.337248474;MAR28=1.381349351,NONE,WEIGHTED_ATM,2026-09-04,18,47,0.0,NONE,742,333,0,0,142,NONE,MCM;SCD;TCD;WCD,OK,NONE,NONE,2026-08-10
USDCAD,1.2658227848,-171974.08511433844,9103807.597354367,0.0,0.0,0.0,0.0,0.0,0.0,1.395676258400027,1.3884865387999734,1.3992711182000541,1.3848916789999464,SEP26,AUG26,2026-08-12,2026-09-04,1.3920813986000002,1.5103823893945865,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;MAY27=SERIES_FORWARD_CLUSTER;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER;MAR28=SERIES_FORWARD_CLUSTER,AUG26=1.392081399;OCT26=1.386394525;JAN27=1.380964014;DEC26=1.386544872;MAY27=1.538461539;SEP26=1.392097716;NOV26=1.386547704;FEB27=1.381153451;JUN27=1.377041889;MAR27=1.381596524;JUL27=1.372810345;APR27=1.375993183;JUN28=1.337248474;MAR28=1.381349351,NONE,WEIGHTED_ATM,2026-09-04,18,47,0.0,NONE,742,333,0,0,142,NONE,MCM;SCD;TCD;WCD,OK,NONE,NONE,2026-08-10
USDCAD,1.2738853503,-24865.776483753667,1306813.6602266596,0.0,0.0,0.0,0.0,0.0,0.0,1.395676258400027,1.3884865387999734,1.3992711182000541,1.3848916789999464,SEP26,AUG26,2026-08-12,2026-09-04,1.3920813986000002,1.5103823893945865,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;MAY27=SERIES_FORWARD_CLUSTER;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER;MAR28=SERIES_FORWARD_CLUSTER,AUG26=1.392081399;OCT26=1.386394525;JAN27=1.380964014;DEC26=1.386544872;MAY27=1.538461539;SEP26=1.392097716;NOV26=1.386547704;FEB27=1.381153451;JUN27=1.377041889;MAR27=1.381596524;JUL27=1.372810345;APR27=1.375993183;JUN28=1.337248474;MAR28=1.381349351,NONE,WEIGHTED_ATM,2026-09-04,18,47,0.0,NONE,742,333,0,0,142,NONE,MCM;SCD;TCD;WCD,OK,NONE,NONE,2026-08-10
USDCAD,1.2820512821,-80361.24697929254,4182512.9209954385,0.0,0.0,0.0,0.0,0.0,0.0,1.395676258400027,1.3884865387999734,1.3992711182000541,1.3848916789999464,SEP26,AUG26,2026-08-12,2026-09-04,1.3920813986000002,1.5103823893945865,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;MAY27=SERIES_FORWARD_CLUSTER;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER;MAR28=SERIES_FORWARD_CLUSTER,AUG26=1.392081399;OCT26=1.386394525;JAN27=1.380964014;DEC26=1.386544872;MAY27=1.538461539;SEP26=1.392097716;NOV26=1.386547704;FEB27=1.381153451;JUN27=1.377041889;MAR27=1.381596524;JUL27=1.372810345;APR27=1.375993183;JUN28=1.337248474;MAR28=1.381349351,NONE,WEIGHTED_ATM,2026-09-04,18,47,0.0,NONE,742,333,0,0,142,NONE,MCM;SCD;TCD;WCD,OK,NONE,NONE,2026-08-10
USDCAD,1.2903225806,-286564.4176913994,14905766.7643183,0.0,0.0,0.0,0.0,0.0,0.0,1.395676258400027,1.3884865387999734,1.3992711182000541,1.3848916789999464,SEP26,AUG26,2026-08-12,2026-09-04,1.3920813986000002,1.5103823893945865,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;MAY27=SERIES_FORWARD_CLUSTER;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER;MAR28=SERIES_FORWARD_CLUSTER,AUG26=1.392081399;OCT26=1.386394525;JAN27=1.380964014;DEC26=1.386544872;MAY27=1.538461539;SEP26=1.392097716;NOV26=1.386547704;FEB27=1.381153451;JUN27=1.377041889;MAR27=1.381596524;JUL27=1.372810345;APR27=1.375993183;JUN28=1.337248474;MAR28=1.381349351,NONE,WEIGHTED_ATM,2026-09-04,18,47,0.0,NONE,742,333,0,0,142,NONE,MCM;SCD;TCD;WCD,OK,NONE,NONE,2026-08-10
USDCAD,1.2987012987,-137794.17644038267,7196766.233251903,0.0,0.0,0.0,0.0,0.0,0.0,1.395676258400027,1.3884865387999734,1.3992711182000541,1.3848916789999464,SEP26,AUG26,2026-08-12,2026-09-04,1.3920813986000002,1.5103823893945865,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;MAY27=SERIES_FORWARD_CLUSTER;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER;MAR28=SERIES_FORWARD_CLUSTER,AUG26=1.392081399;OCT26=1.386394525;JAN27=1.380964014;DEC26=1.386544872;MAY27=1.538461539;SEP26=1.392097716;NOV26=1.386547704;FEB27=1.381153451;JUN27=1.377041889;MAR27=1.381596524;JUL27=1.372810345;APR27=1.375993183;JUN28=1.337248474;MAR28=1.381349351,NONE,WEIGHTED_ATM,2026-09-04,18,47,0.0,NONE,742,333,0,0,142,NONE,MCM;SCD;TCD;WCD,OK,NONE,NONE,2026-08-10
USDCAD,1.3071895425,-338091.29606867465,17681867.886470214,0.0,0.0,0.0,0.0,0.0,0.0,1.395676258400027,1.3884865387999734,1.3992711182000541,1.3848916789999464,SEP26,AUG26,2026-08-12,2026-09-04,1.3920813986000002,1.5103823893945865,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;MAY27=SERIES_FORWARD_CLUSTER;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER;MAR28=SERIES_FORWARD_CLUSTER,AUG26=1.392081399;OCT26=1.386394525;JAN27=1.380964014;DEC26=1.386544872;MAY27=1.538461539;SEP26=1.392097716;NOV26=1.386547704;FEB27=1.381153451;JUN27=1.377041889;MAR27=1.381596524;JUL27=1.372810345;APR27=1.375993183;JUN28=1.337248474;MAR28=1.381349351,NONE,WEIGHTED_ATM,2026-09-04,18,47,0.0,NONE,742,333,0,0,142,NONE,MCM;SCD;TCD;WCD,OK,NONE,NONE,2026-08-10
USDCAD,1.3157894737,-14310771.274050245,744759252.8584337,0.0,0.0,0.0,0.0,0.0,0.0,1.395676258400027,1.3884865387999734,1.3992711182000541,1.3848916789999464,SEP26,AUG26,2026-08-12,2026-09-04,1.3920813986000002,1.5103823893945865,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;MAY27=SERIES_FORWARD_CLUSTER;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER;MAR28=SERIES_FORWARD_CLUSTER,AUG26=1.392081399;OCT26=1.386394525;JAN27=1.380964014;DEC26=1.386544872;MAY27=1.538461539;SEP26=1.392097716;NOV26=1.386547704;FEB27=1.381153451;JUN27=1.377041889;MAR27=1.381596524;JUL27=1.372810345;APR27=1.375993183;JUN28=1.337248474;MAR28=1.381349351,NONE,WEIGHTED_ATM,2026-09-04,18,47,0.0,NONE,742,333,0,0,142,NONE,MCM;SCD;TCD;WCD,OK,NONE,NONE,2026-08-10
USDCAD,1.3245033113,-3582848.3708483535,187624229.5313161,0.0,0.0,0.0,0.0,0.0,0.0,1.395676258400027,1.3884865387999734,1.3992711182000541,1.3848916789999464,SEP26,AUG26,2026-08-12,2026-09-04,1.3920813986000002,1.5103823893945865,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;MAY27=SERIES_FORWARD_CLUSTER;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER;MAR28=SERIES_FORWARD_CLUSTER,AUG26=1.392081399;OCT26=1.386394525;JAN27=1.380964014;DEC26=1.386544872;MAY27=1.538461539;SEP26=1.392097716;NOV26=1.386547704;FEB27=1.381153451;JUN27=1.377041889;MAR27=1.381596524;JUL27=1.372810345;APR27=1.375993183;JUN28=1.337248474;MAR28=1.381349351,NONE,WEIGHTED_ATM,2026-09-04,18,47,0.0,NONE,742,333,0,0,142,NONE,MCM;SCD;TCD;WCD,OK,NONE,NONE,2026-08-10
