Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Futures_Spot
BTC,20000.0,-6.547143681195176e-06,1.3094287362390352e-06,0.0,0.0,0.0,0.0,0.0,0.0,63487.79567012935,60845.53766320398,64808.924673592046,59524.40865974128,JUN26,JUN26,62166.666666666664
BTC,25000.0,-2.0442890129679426e-05,4.088578025935885e-06,0.0,0.0,0.0,0.0,0.0,0.0,63487.79567012935,60845.53766320398,64808.924673592046,59524.40865974128,JUN26,JUN26,62166.666666666664
BTC,27500.0,-4.579365844046151e-05,9.158731688092301e-06,0.0,0.0,0.0,0.0,0.0,0.0,63487.79567012935,60845.53766320398,64808.924673592046,59524.40865974128,JUN26,JUN26,62166.666666666664
BTC,30000.0,-6.345980158324919e-05,1.2691960316649837e-05,0.0,0.0,0.0,0.0,0.0,0.0,63487.79567012935,60845.53766320398,64808.924673592046,59524.40865974128,JUN26,JUN26,62166.666666666664
BTC,32500.0,-4.611022723886874e-06,9.222045447773748e-07,0.0,0.0,0.0,0.0,0.0,0.0,63487.79567012935,60845.53766320398,64808.924673592046,59524.40865974128,JUN26,JUN26,62166.666666666664
BTC,35000.0,-7.51639572839175e-05,1.50327914567835e-05,0.0,0.0,0.0,0.0,0.0,0.0,63487.79567012935,60845.53766320398,64808.924673592046,59524.40865974128,JUN26,JUN26,62166.666666666664
BTC,37500.0,-9.249759215213313e-05,1.8499518430426627e-05,0.0,0.0,0.0,0.0,0.0,0.0,63487.79567012935,60845.53766320398,64808.924673592046,59524.40865974128,JUN26,JUN26,62166.666666666664
BTC,40000.0,-0.0008129283515583405,0.00016258567031166807,0.0,0.0,0.0,0.0,0.0,0.0,63487.79567012935,60845.53766320398,64808.924673592046,59524.40865974128,JUN26,JUN26,62166.666666666664
BTC,42500.0,-3.347081607242008e-05,6.694163214484016e-06,0.0,0.0,0.0,0.0,0.0,0.0,63487.79567012935,60845.53766320398,64808.924673592046,59524.40865974128,JUN26,JUN26,62166.666666666664
BTC,45000.0,-0.0016441934002193012,0.0003288386800438602,0.0,0.0,0.0,0.0,0.0,0.0,63487.79567012935,60845.53766320398,64808.924673592046,59524.40865974128,JUN26,JUN26,62166.666666666664
BTC,47500.0,-0.0053595161696737385,0.0010719032339347478,0.0,0.0,0.0,0.0,0.0,0.0,63487.79567012935,60845.53766320398,64808.924673592046,59524.40865974128,JUN26,JUN26,62166.666666666664
BTC,49500.0,-0.00011377045783516757,2.2754091567033513e-05,0.0,0.0,0.0,0.0,0.0,0.0,63487.79567012935,60845.53766320398,64808.924673592046,59524.40865974128,JUN26,JUN26,62166.666666666664
BTC,50000.0,-0.004539577888883709,0.0009079155777767418,0.0,0.0,0.0,0.0,0.0,0.0,63487.79567012935,60845.53766320398,64808.924673592046,59524.40865974128,JUN26,JUN26,62166.666666666664
BTC,50500.0,-0.00013648145232409212,2.729629046481842e-05,0.0,0.0,0.0,0.0,0.0,0.0,63487.79567012935,60845.53766320398,64808.924673592046,59524.40865974128,JUN26,JUN26,62166.666666666664
BTC,51000.0,-0.0013362156855908612,0.00026724313711817225,0.0,0.0,0.0,0.0,0.0,0.0,63487.79567012935,60845.53766320398,64808.924673592046,59524.40865974128,JUN26,JUN26,62166.666666666664
BTC,51500.0,-0.00025625136848189765,5.1250273696379524e-05,0.0,0.0,0.0,0.0,0.0,0.0,63487.79567012935,60845.53766320398,64808.924673592046,59524.40865974128,JUN26,JUN26,62166.666666666664
BTC,52000.0,-0.0006694761736837406,0.00013389523473674814,0.0,0.0,0.0,0.0,0.0,0.0,63487.79567012935,60845.53766320398,64808.924673592046,59524.40865974128,JUN26,JUN26,62166.666666666664
BTC,52500.0,-0.0005501396673055745,0.00011002793346111489,0.0,0.0,0.0,0.0,0.0,0.0,63487.79567012935,60845.53766320398,64808.924673592046,59524.40865974128,JUN26,JUN26,62166.666666666664
