Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Futures_Spot
XAU,1350.0,-6.869633994512807e-05,6.869633994512808e-07,0.0,0.0,0.0,0.0,0.0,0.0,4164.355591485032,4109.72604116803,4191.670366643534,4082.4112660095284,JUL26,JUN26,4137.040816326531
XAU,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164.355591485032,4109.72604116803,4191.670366643534,4082.4112660095284,JUL26,JUN26,4137.040816326531
XAU,1400.0,-0.00012031804934627537,1.2031804934627536e-06,0.0,0.0,0.0,0.0,0.0,0.0,4164.355591485032,4109.72604116803,4191.670366643534,4082.4112660095284,JUL26,JUN26,4137.040816326531
XAU,1500.0,-0.00016548852982080657,1.6548852982080657e-06,0.0,0.0,0.0,0.0,0.0,0.0,4164.355591485032,4109.72604116803,4191.670366643534,4082.4112660095284,JUL26,JUN26,4137.040816326531
XAU,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164.355591485032,4109.72604116803,4191.670366643534,4082.4112660095284,JUL26,JUN26,4137.040816326531
XAU,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164.355591485032,4109.72604116803,4191.670366643534,4082.4112660095284,JUL26,JUN26,4137.040816326531
XAU,1845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164.355591485032,4109.72604116803,4191.670366643534,4082.4112660095284,JUL26,JUN26,4137.040816326531
XAU,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164.355591485032,4109.72604116803,4191.670366643534,4082.4112660095284,JUL26,JUN26,4137.040816326531
XAU,1995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164.355591485032,4109.72604116803,4191.670366643534,4082.4112660095284,JUL26,JUN26,4137.040816326531
XAU,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164.355591485032,4109.72604116803,4191.670366643534,4082.4112660095284,JUL26,JUN26,4137.040816326531
XAU,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164.355591485032,4109.72604116803,4191.670366643534,4082.4112660095284,JUL26,JUN26,4137.040816326531
XAU,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164.355591485032,4109.72604116803,4191.670366643534,4082.4112660095284,JUL26,JUN26,4137.040816326531
XAU,2275.0,-0.005028868074728326,5.0288680747283254e-05,0.0,0.0,0.0,0.0,0.0,0.0,4164.355591485032,4109.72604116803,4191.670366643534,4082.4112660095284,JUL26,JUN26,4137.040816326531
XAU,2300.0,-0.03096898226740285,0.0003096898226740285,0.0,0.0,0.0,0.0,0.0,0.0,4164.355591485032,4109.72604116803,4191.670366643534,4082.4112660095284,JUL26,JUN26,4137.040816326531
XAU,2325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164.355591485032,4109.72604116803,4191.670366643534,4082.4112660095284,JUL26,JUN26,4137.040816326531
XAU,2350.0,-0.00024178275118606646,2.4178275118606646e-06,0.0,0.0,0.0,0.0,0.0,0.0,4164.355591485032,4109.72604116803,4191.670366643534,4082.4112660095284,JUL26,JUN26,4137.040816326531
XAU,2375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164.355591485032,4109.72604116803,4191.670366643534,4082.4112660095284,JUL26,JUN26,4137.040816326531
XAU,2400.0,-0.0002588588999468424,2.588588999468424e-06,0.0,0.0,0.0,0.0,0.0,0.0,4164.355591485032,4109.72604116803,4191.670366643534,4082.4112660095284,JUL26,JUN26,4137.040816326531
XAU,2425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164.355591485032,4109.72604116803,4191.670366643534,4082.4112660095284,JUL26,JUN26,4137.040816326531
XAU,2450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164.355591485032,4109.72604116803,4191.670366643534,4082.4112660095284,JUL26,JUN26,4137.040816326531
XAU,2475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164.355591485032,4109.72604116803,4191.670366643534,4082.4112660095284,JUL26,JUN26,4137.040816326531
