Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
GBP,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3673997517122762,1.3582002482877238,1.3719995034245522,1.3536004965754478,SEP26,AUG26,2026-08-24,2026-09-04,1.3628,1.3514037128695677,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR27=SERIES_FORWARD_CLUSTER;JUL27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,AUG26=1.3628;SEP26=1.3628;DEC26=1.3626;NOV26=1.3625;OCT26=1.3626;JAN27=1.362;MAR27=1.3618;FEB27=1.3617;JUN27=1.36145;MAY27=1.3604;SEP27=1.3603;APR27=1.358;JUL27=1.36035;DEC27=1.1333;AUG27=1.2813,NONE,WEIGHTED_ATM,2026-08-28,5,18,0.0,NONE,1321,655,0,0,91,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-08-20
GBP,1.07,-1907.9472618766342,102882.07299975133,0.0,0.0,0.0,0.0,0.0,0.0,1.3673997517122762,1.3582002482877238,1.3719995034245522,1.3536004965754478,SEP26,AUG26,2026-08-24,2026-09-04,1.3628,1.3514037128695677,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR27=SERIES_FORWARD_CLUSTER;JUL27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,AUG26=1.3628;SEP26=1.3628;DEC26=1.3626;NOV26=1.3625;OCT26=1.3626;JAN27=1.362;MAR27=1.3618;FEB27=1.3617;JUN27=1.36145;MAY27=1.3604;SEP27=1.3603;APR27=1.358;JUL27=1.36035;DEC27=1.1333;AUG27=1.2813,NONE,WEIGHTED_ATM,2026-08-28,5,18,0.0,NONE,1321,655,0,0,91,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-08-20
GBP,1.08,-508.6476274080096,27427.76143753014,0.0,0.0,0.0,0.0,0.0,0.0,1.3673997517122762,1.3582002482877238,1.3719995034245522,1.3536004965754478,SEP26,AUG26,2026-08-24,2026-09-04,1.3628,1.3514037128695677,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR27=SERIES_FORWARD_CLUSTER;JUL27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,AUG26=1.3628;SEP26=1.3628;DEC26=1.3626;NOV26=1.3625;OCT26=1.3626;JAN27=1.362;MAR27=1.3618;FEB27=1.3617;JUN27=1.36145;MAY27=1.3604;SEP27=1.3603;APR27=1.358;JUL27=1.36035;DEC27=1.1333;AUG27=1.2813,NONE,WEIGHTED_ATM,2026-08-28,5,18,0.0,NONE,1321,655,0,0,91,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-08-20
GBP,1.1,-5744.012704423512,310308.2967444734,0.0,0.0,0.0,0.0,0.0,0.0,1.3673997517122762,1.3582002482877238,1.3719995034245522,1.3536004965754478,SEP26,AUG26,2026-08-24,2026-09-04,1.3628,1.3514037128695677,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR27=SERIES_FORWARD_CLUSTER;JUL27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,AUG26=1.3628;SEP26=1.3628;DEC26=1.3626;NOV26=1.3625;OCT26=1.3626;JAN27=1.362;MAR27=1.3618;FEB27=1.3617;JUN27=1.36145;MAY27=1.3604;SEP27=1.3603;APR27=1.358;JUL27=1.36035;DEC27=1.1333;AUG27=1.2813,NONE,WEIGHTED_ATM,2026-08-28,5,18,0.0,NONE,1321,655,0,0,91,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-08-20
GBP,1.11,-106.1211807972212,5715.645758624459,0.0,0.0,0.0,0.0,0.0,0.0,1.3673997517122762,1.3582002482877238,1.3719995034245522,1.3536004965754478,SEP26,AUG26,2026-08-24,2026-09-04,1.3628,1.3514037128695677,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR27=SERIES_FORWARD_CLUSTER;JUL27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,AUG26=1.3628;SEP26=1.3628;DEC26=1.3626;NOV26=1.3625;OCT26=1.3626;JAN27=1.362;MAR27=1.3618;FEB27=1.3617;JUN27=1.36145;MAY27=1.3604;SEP27=1.3603;APR27=1.358;JUL27=1.36035;DEC27=1.1333;AUG27=1.2813,NONE,WEIGHTED_ATM,2026-08-28,5,18,0.0,NONE,1321,655,0,0,91,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-08-20
GBP,1.12,-5862.680643743759,316809.54750423797,0.0,0.0,0.0,0.0,0.0,0.0,1.3673997517122762,1.3582002482877238,1.3719995034245522,1.3536004965754478,SEP26,AUG26,2026-08-24,2026-09-04,1.3628,1.3514037128695677,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR27=SERIES_FORWARD_CLUSTER;JUL27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,AUG26=1.3628;SEP26=1.3628;DEC26=1.3626;NOV26=1.3625;OCT26=1.3626;JAN27=1.362;MAR27=1.3618;FEB27=1.3617;JUN27=1.36145;MAY27=1.3604;SEP27=1.3603;APR27=1.358;JUL27=1.36035;DEC27=1.1333;AUG27=1.2813,NONE,WEIGHTED_ATM,2026-08-28,5,18,0.0,NONE,1321,655,0,0,91,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-08-20
GBP,1.13,-1286492.336240169,100141709.79178888,0.0,0.0,0.0,0.0,0.0,0.0,1.3673997517122762,1.3582002482877238,1.3719995034245522,1.3536004965754478,SEP26,AUG26,2026-08-24,2026-09-04,1.3628,1.3514037128695677,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR27=SERIES_FORWARD_CLUSTER;JUL27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,AUG26=1.3628;SEP26=1.3628;DEC26=1.3626;NOV26=1.3625;OCT26=1.3626;JAN27=1.362;MAR27=1.3618;FEB27=1.3617;JUN27=1.36145;MAY27=1.3604;SEP27=1.3603;APR27=1.358;JUL27=1.36035;DEC27=1.1333;AUG27=1.2813,NONE,WEIGHTED_ATM,2026-08-28,5,18,0.0,NONE,1321,655,0,0,91,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-08-20
GBP,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3673997517122762,1.3582002482877238,1.3719995034245522,1.3536004965754478,SEP26,AUG26,2026-08-24,2026-09-04,1.3628,1.3514037128695677,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR27=SERIES_FORWARD_CLUSTER;JUL27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,AUG26=1.3628;SEP26=1.3628;DEC26=1.3626;NOV26=1.3625;OCT26=1.3626;JAN27=1.362;MAR27=1.3618;FEB27=1.3617;JUN27=1.36145;MAY27=1.3604;SEP27=1.3603;APR27=1.358;JUL27=1.36035;DEC27=1.1333;AUG27=1.2813,NONE,WEIGHTED_ATM,2026-08-28,5,18,0.0,NONE,1321,655,0,0,91,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-08-20
GBP,1.15,-15761.763915575564,849774.9843426497,0.0,0.0,0.0,0.0,0.0,0.0,1.3673997517122762,1.3582002482877238,1.3719995034245522,1.3536004965754478,SEP26,AUG26,2026-08-24,2026-09-04,1.3628,1.3514037128695677,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR27=SERIES_FORWARD_CLUSTER;JUL27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,AUG26=1.3628;SEP26=1.3628;DEC26=1.3626;NOV26=1.3625;OCT26=1.3626;JAN27=1.362;MAR27=1.3618;FEB27=1.3617;JUN27=1.36145;MAY27=1.3604;SEP27=1.3603;APR27=1.358;JUL27=1.36035;DEC27=1.1333;AUG27=1.2813,NONE,WEIGHTED_ATM,2026-08-28,5,18,0.0,NONE,1321,655,0,0,91,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-08-20
GBP,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3673997517122762,1.3582002482877238,1.3719995034245522,1.3536004965754478,SEP26,AUG26,2026-08-24,2026-09-04,1.3628,1.3514037128695677,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR27=SERIES_FORWARD_CLUSTER;JUL27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,AUG26=1.3628;SEP26=1.3628;DEC26=1.3626;NOV26=1.3625;OCT26=1.3626;JAN27=1.362;MAR27=1.3618;FEB27=1.3617;JUN27=1.36145;MAY27=1.3604;SEP27=1.3603;APR27=1.358;JUL27=1.36035;DEC27=1.1333;AUG27=1.2813,NONE,WEIGHTED_ATM,2026-08-28,5,18,0.0,NONE,1321,655,0,0,91,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-08-20
