Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
BTC,48500.0,-29817.883374776844,0.0007135049150372635,0.0,0.0,0.0,0.0,0.0,0.0,65947.04536591654,63292.95463408347,67274.09073183306,61965.90926816694,AUG26,AUG26,2026-08-28,2026-08-28,64620.0,66276.65361998041,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY,DEC26=81997.5;AUG26=64620;SEP26=65030;MAR27=92295,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_NO_OBSERVATION;MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,15,70,0.0,NONE,186,186,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-06
BTC,50000.0,-81065.63339889943,0.0019310421381216391,0.0,0.0,0.0,0.0,0.0,0.0,65947.04536591654,63292.95463408347,67274.09073183306,61965.90926816694,AUG26,AUG26,2026-08-28,2026-08-28,64620.0,66276.65361998041,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY,DEC26=81997.5;AUG26=64620;SEP26=65030;MAR27=92295,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_NO_OBSERVATION;MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,15,70,0.0,NONE,186,186,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-06
BTC,50500.0,-16914.625269285356,0.000405068501541554,0.0,0.0,0.0,0.0,0.0,0.0,65947.04536591654,63292.95463408347,67274.09073183306,61965.90926816694,AUG26,AUG26,2026-08-28,2026-08-28,64620.0,66276.65361998041,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY,DEC26=81997.5;AUG26=64620;SEP26=65030;MAR27=92295,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_NO_OBSERVATION;MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,15,70,0.0,NONE,186,186,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-06
BTC,51000.0,-7779.245849093281,0.00018395431893647072,0.0,0.0,0.0,0.0,0.0,0.0,65947.04536591654,63292.95463408347,67274.09073183306,61965.90926816694,AUG26,AUG26,2026-08-28,2026-08-28,64620.0,66276.65361998041,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY,DEC26=81997.5;AUG26=64620;SEP26=65030;MAR27=92295,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_NO_OBSERVATION;MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,15,70,0.0,NONE,186,186,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-06
BTC,51500.0,-13013.74500398003,0.0003108197087884815,0.0,0.0,0.0,0.0,0.0,0.0,65947.04536591654,63292.95463408347,67274.09073183306,61965.90926816694,AUG26,AUG26,2026-08-28,2026-08-28,64620.0,66276.65361998041,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY,DEC26=81997.5;AUG26=64620;SEP26=65030;MAR27=92295,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_NO_OBSERVATION;MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,15,70,0.0,NONE,186,186,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-06
BTC,52000.0,-34223.46827527982,0.0008186929465489218,0.0,0.0,0.0,0.0,0.0,0.0,65947.04536591654,63292.95463408347,67274.09073183306,61965.90926816694,AUG26,AUG26,2026-08-28,2026-08-28,64620.0,66276.65361998041,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY,DEC26=81997.5;AUG26=64620;SEP26=65030;MAR27=92295,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_NO_OBSERVATION;MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,15,70,0.0,NONE,186,186,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-06
BTC,52500.0,-31077.62458524768,0.0007385851962523732,0.0,0.0,0.0,0.0,0.0,0.0,65947.04536591654,63292.95463408347,67274.09073183306,61965.90926816694,AUG26,AUG26,2026-08-28,2026-08-28,64620.0,66276.65361998041,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY,DEC26=81997.5;AUG26=64620;SEP26=65030;MAR27=92295,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_NO_OBSERVATION;MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,15,70,0.0,NONE,186,186,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-06
BTC,53000.0,-3539.935110538588,8.477374981425079e-05,0.0,0.0,0.0,0.0,0.0,0.0,65947.04536591654,63292.95463408347,67274.09073183306,61965.90926816694,AUG26,AUG26,2026-08-28,2026-08-28,64620.0,66276.65361998041,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY,DEC26=81997.5;AUG26=64620;SEP26=65030;MAR27=92295,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_NO_OBSERVATION;MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,15,70,0.0,NONE,186,186,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-06
BTC,53500.0,6642.39025546249,0.00015707131504222503,0.0,0.0,0.0,0.0,0.0,0.0,65947.04536591654,63292.95463408347,67274.09073183306,61965.90926816694,AUG26,AUG26,2026-08-28,2026-08-28,64620.0,66276.65361998041,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY,DEC26=81997.5;AUG26=64620;SEP26=65030;MAR27=92295,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_NO_OBSERVATION;MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,15,70,0.0,NONE,186,186,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-06
BTC,54000.0,-8351.121457380888,0.0003467899730077185,0.0,0.0,0.0,0.0,0.0,0.0,65947.04536591654,63292.95463408347,67274.09073183306,61965.90926816694,AUG26,AUG26,2026-08-28,2026-08-28,64620.0,66276.65361998041,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY,DEC26=81997.5;AUG26=64620;SEP26=65030;MAR27=92295,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_NO_OBSERVATION;MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,15,70,0.0,NONE,186,186,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-06
